Element,Outside_Layer,Outside_Layer_Thickness,Layer_2,Layer_2_Thickness,Layer_3,Layer_3_Thickness,Layer_4,Layer_4_Thickness,Layer_5,Layer_5_Thickness,Layer_6,Layer_6_Thickness
Generic roof,Clay tile - hollow - 2 cells deep - 200mm,0.019,G07 100mm wood,0.1,Gypsum or plaster board - 9.5mm,0.019,,,,,,
Generic roof + insulation (100mm),Clay tile - hollow - 2 cells deep - 200mm,0.019,Insulation: Glass fiber - organic bonded - 25mm,0.1,Gypsum or plaster board - 9.5mm,0.019,,,,,,
Generic roof + insulation (150mm),Clay tile - hollow - 2 cells deep - 200mm,0.019,Insulation: Glass fiber - organic bonded - 25mm,0.15,Gypsum or plaster board - 9.5mm,0.019,,,,,,
Generic roof + insulation (250mm),Clay tile - hollow - 2 cells deep - 200mm,0.019,Insulation: Glass fiber - organic bonded - 25mm,0.25,Gypsum or plaster board - 9.5mm,0.019,,,,,,
Simple flat roof,Asphalt roll roofing,0.02,Concrete: Sand and gravel or stone aggregate concretes - 2080 kg/m3 - 102mm,0.05,M11 100mm lightweight concrete,0.1,Gypsum or plaster board - 9.5mm,0.0095,,,,
Simple flat roof + Insulation (12mm),Asphalt roll roofing,0.02,Insulation: Glass fiber - organic bonded - 25mm,0.012,Concrete: Sand and gravel or stone aggregate concretes - 2080 kg/m3 - 102mm,0.05,M11 100mm lightweight concrete,0.15,Gypsum or plaster board - 9.5mm,0.0095,,
Flat roof,Asphalt roll roofing,0.02,Insulation: Glass fiber - organic bonded - 25mm,0.02,Concrete: Sand and gravel or stone aggregate concretes - 2080 kg/m3 - 102mm,0.05,M11 100mm lightweight concrete,0.15,F05 Ceiling air space resistance,0.1,Gypsum or plaster board - 9.5mm,0.0095
Flat roof + insulation (250mm),Asphalt roll roofing,0.02,Insulation: Glass fiber - organic bonded - 25mm,0.25,Concrete: Sand and gravel or stone aggregate concretes - 2080 kg/m3 - 102mm,0.05,M11 100mm lightweight concrete,0.15,F05 Ceiling air space resistance,0.1,Gypsum or plaster board - 9.5mm,0.0095
Clear cavity,Brick - fired clay - 2400 kg/m3 - 102mm,0.103,F04 Wall air space resistance,0.05,Brick - fired clay - 2400 kg/m3 - 102mm,0.0103,,,,,,
Solid Wall,Brick - fired clay - 1600 kg/m3 - 102mm,0.206,,,,,,,,,,
Filled Cavity,Brick - fired clay - 1600 kg/m3 - 102mm,0.103,Insulation: Glass fiber - organic bonded - 25mm,0.075,M02 150mm lightweight concrete block,0.1,Gypsum or plaster board - 9.5mm,0.013,,,,
Modern Cavity,Brick - fired clay - 1600 kg/m3 - 102mm,0.103,Insulation: Glass fiber - organic bonded - 25mm,0.1,M02 150mm lightweight concrete block,0.1,Gypsum or plaster board - 9.5mm,0.013,,,,
Suspended ground floor SFH,Hardboard Medium density,0.019,G07 100mm wood,0.1,F05 Ceiling air space resistance,0.1,M11 100mm lightweight concrete,0.1,,,,
Suspended ground floor TH ,Hardboard Medium density,0.019,G07 100mm wood,0.1,F05 Ceiling air space resistance,0.1,,,,,,
Concrete ground floor,Hardboard Medium density,0.019,Concrete: Sand and gravel or stone aggregate concretes - 2080 kg/m3 - 102mm,0.038,M11 100mm lightweight concrete,0.01,,,,,,
Modern concrete floor,Hardboard Medium density,0.019,Concrete: Sand and gravel or stone aggregate concretes - 2080 kg/m3 - 102mm,0.038,M11 100mm lightweight concrete,0.01,Insulation: Glass fiber - organic bonded - 25mm,0.1,,,,
