Material,Thermal_Conductivity,Density,Specific_Heat_Capacity,Roughness,Thermal_Absorptance,Solar_Absorptance,Visual_Absorptance
Cement fiber slabs shredded wood,0.080,350,1030,Rough,0.9,0.7,0.7
Asbestos fibre,0.060,640,840,Rough,0.9,0.7,0.7
Perlite board expanded,0.052,16,1260,Rough,0.9,0.7,0.7
Rock wool,0.034,200,710,Rough,0.9,0.7,0.7
Urea formaldehyde resin foam,0.054,14,147,Rough,0.9,0.7,0.7
Mineral wool,0.042,12,1030,Rough,0.9,0.7,0.7
Polystyrene expanded,0.035,23,1470,Rough,0.9,0.7,0.7
Polyurethane foam,0.025,30,1400,Rough,0.9,0.7,0.7
Polyisocyanurate aged with facers,0.020,25,1470,Rough,0.9,0.7,0.7
Concrete block (dense) (exposed),1.870,2300,1000,Rough,0.9,0.7,0.7
Concrete block (dense) (protected),1.750,2300,1000,Rough,0.9,0.7,0.7
Precast concrete (dense) (exposed),1.560,2100,1000,Rough,0.9,0.7,0.7
Precast concrete (dense) (protected),1.460,2100,1000,Rough,0.9,0.7,0.7
Cast concrete 2000,1.330,2000,1000,Rough,0.9,0.7,0.7
Cast concrete 1800,1.130,1800,1000,Rough,0.9,0.7,0.7
Brick fired clay 2400,1.340,2400,800,Rough,0.9,0.7,0.7
Brick fired clay 2240,1.190,2240,800,Rough,0.9,0.7,0.7
Brick fired clay 2080,1.020,2080,800,Rough,0.9,0.7,0.7
Brick fired clay 1920,0.900,1920,800,Rough,0.9,0.7,0.7
Brick fired clay 1600,0.680,1600,800,Rough,0.9,0.7,0.7
Brick fired clay 1280,0.480,1280,800,Rough,0.9,0.7,0.7
Brick fired clay 1120,0.410,1120,800,Rough,0.9,0.7,0.7
Basalt,3.490,2880,840,Rough,0.9,0.7,0.7
Granite red,2.490,2650,900,Rough,0.9,0.7,0.7
Sandstone,1.830,2200,710,Rough,0.9,0.7,0.7
Limestone,1.500,2180,720,Rough,0.9,0.7,0.7
Sandstone tiles,1.200,2000,840,Rough,0.9,0.7,0.7
Oak beech ash walnut,0.230,650,3050,Rough,0.9,0.7,0.7
Maple oak and similar hardwoods,0.160,720,1260,Rough,0.9,0.7,0.7
Timber,0.140,720,1680,Rough,0.9,0.7,0.7
Singh_pInsulation,0.035,20,1000,Smooth,0.9,0.7,0.7
Singh_roof_insulation,0.035,20,1000,Smooth,0.9,0.7,0.7
Singh_roof_structure,2.300,2300,800,Smooth,0.9,0.7,0.7
Singh_wall_plasterlayer,0.700,1400,1000,Smooth,0.9,0.7,0.7
Singh_wall_insulation,0.035,25,1000,Smooth,0.9,0.7,0.7
Singh_wall_structure,2.300,2300,1100,Smooth,0.9,0.7,0.7
Singh_floor_structure,2.300,2300,800,Smooth,0.9,0.7,0.7
Singh_gfloor_insulation,0.035,20,1000,Smooth,0.9,0.7,0.7
Singh_floor_cementscreed,1.400,2000,1000,Smooth,0.9,0.7,0.7
Singh_ifloor_insulation,0.035,20,1000,Smooth,0.9,0.7,0.7
Singh_plasterboard,0.160,800,800,Rough,0.9,0.6,0.6
Singh_iwall_insulation,0.035,20,1000,Rough,0.9,0.7,0.7
